method,n_cases,Precision,Recall,F1,AUC_PR,NDCG15,NDCG25
CommonNeighbors,25,0.6410 +/- 0.0890,0.8802 +/- 0.0806,0.7393 +/- 0.0790,0.6589 +/- 0.1783,0.6649 +/- 0.1270,0.7824 +/- 0.1169
Peter-Clark,25,0.6921 +/- 0.1317,0.8776 +/- 0.0727,0.7688 +/- 0.0990,0.7803 +/- 0.1278,0.6622 +/- 0.1173,0.8021 +/- 0.0987
GAT,25,0.6263 +/- 0.1091,0.8631 +/- 0.1017,0.7236 +/- 0.1026,0.6627 +/- 0.1870,0.6597 +/- 0.1291,0.7720 +/- 0.1218
CDHC,25,0.3749 +/- 0.0952,0.5178 +/- 0.1211,0.4336 +/- 0.1039,0.3905 +/- 0.1302,0.7902 +/- 0.0868,0.8318 +/- 0.0675
IF-PDAG,25,0.4971 +/- 0.1259,0.6837 +/- 0.1440,0.5740 +/- 0.1326,0.5941 +/- 0.1618,0.7807 +/- 0.1685,0.8374 +/- 0.1314
VGAE,24,0.5607 +/- 0.1206,0.7647 +/- 0.1287,0.6453 +/- 0.1228,0.6225 +/- 0.1978,0.6703 +/- 0.1537,0.7776 +/- 0.1085
GATE,25,0.6720 +/- 0.0900,0.9289 +/- 0.0767,0.7774 +/- 0.0784,0.8321 +/- 0.1054,0.6765 +/- 0.0973,0.8025 +/- 0.0601
DistMult,25,0.5897 +/- 0.1231,0.8117 +/- 0.1220,0.6809 +/- 0.1207,0.6741 +/- 0.1877,0.6553 +/- 0.1396,0.7751 +/- 0.0985
NOTEARS,25,0.6674 +/- 0.1046,0.9190 +/- 0.0779,0.7709 +/- 0.0923,0.6456 +/- 0.1472,0.5854 +/- 0.0557,0.7290 +/- 0.0724
GES,25,0.6741 +/- 0.0900,0.9214 +/- 0.0726,0.7764 +/- 0.0788,0.7777 +/- 0.1422,0.5273 +/- 0.0837,0.6721 +/- 0.0855
GOLEM,25,0.6549 +/- 0.1122,0.9006 +/- 0.0860,0.7560 +/- 0.1017,0.7592 +/- 0.1254,0.7368 +/- 0.0502,0.8402 +/- 0.0426
PC-VGAE,25,0.8458 +/- 0.1202,0.8613 +/- 0.0861,0.8509 +/- 0.0954,0.8372 +/- 0.0975,0.7439 +/- 0.0855,0.8564 +/- 0.0340
PC-GATE,25,0.8655 +/- 0.1104,0.8643 +/- 0.0839,0.8623 +/- 0.0879,0.8393 +/- 0.1029,0.7523 +/- 0.0766,0.8619 +/- 0.0263
